smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.00023157708,-0.00018142723,0.0012340923,0.0005015079,-0.00084763975,0.0003082743,0.00017575314,-0.00048466725,0.0017657345,0.0013824645,-0.0024379892,0.00085406564,0.0025114259,0.0010020733,-0.00048555247,0.0006776331,-0.00071283313,-0.00029889308,-0.0012707021,0.00064216927,8.638878e-05,-0.0017765246,-0.0012487499,-0.00030656822,0.00013762433,-0.0013255477,0.0006234981,0.0016489606,0.0023901137,-2.6495429e-05,-0.0003745202,0.0013017614,-0.0016186768,0.0020843446,0.0016059568,-0.00048219995,-0.000719592,-0.0019154279,-0.0010088282,-0.001868747,-0.0015084092,0.0010546129,-0.0029400997,0.0012524445,0.0011430708,-0.0014516274,-0.00025419798,-0.000549403,-0.00011582766,0.0016786102,3.0042604e-05,-0.0013753809,-0.00079304166,8.657575e-05,0.0009879386,-0.00041918037,0.00085345795,0.00029870542,0.0011347616,-0.0001380099,0.00011813268,0.0028131064,-0.00047245063,3.2868236e-05
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,7.031858e-05,4.931353e-05,6.488757e-05,-0.00019114092,-0.0003533552,9.005889e-05,-7.3740724e-05,0.0004301672,0.00074432604,0.00011506304,-0.001627204,0.00015742145,0.0014624214,0.00028935447,-0.00059482455,0.0003442606,0.00039857742,-0.00079585053,-0.00085555203,7.6963566e-05,-0.0012103559,-0.00040137838,-7.664133e-05,-0.0004762105,0.0007385062,0.00022039935,0.00026849937,0.0007084068,0.00073934067,-0.0008402553,0.0006780699,0.0008683164,-0.0017630514,0.00033708476,0.0010987092,0.000294063,-0.00010176748,-0.0014709188,0.0002020523,-0.0009202033,-0.00048280507,0.0020534024,-0.0021012966,0.0014140382,0.0009877634,2.0402484e-05,-0.00022708159,-0.00038007274,-0.00047725067,0.0005410947,0.0005923044,-0.00032440014,-0.00095033087,-0.0003635371,0.00066075847,-0.0004720739,0.00046843616,0.0005177618,-0.00018371595,-0.00039637368,-0.00059086457,0.001222359,0.00030225143,-7.55731e-05
NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,-0.000100158155,-0.0003150124,-0.0008229655,-0.00085333176,-0.0009616094,-0.00012456067,-0.00021225167,0.0004965686,0.0009360835,5.8459118e-05,-0.0016586715,4.7529116e-05,0.0016130572,0.00042054616,-0.00083826855,0.00039572734,0.00086821546,-0.0012025293,-0.0006843945,-0.000687154,-0.00072216033,-0.00076125073,-0.0006556632,-0.0003834284,0.00026218873,0.00060839765,0.000108058564,0.0008005239,0.00041525718,-0.00018160907,0.00010557845,0.0015055198,-0.001531479,-0.00018791296,0.00016243942,0.0007468292,0.00034252182,-0.0016448898,0.00070301536,-0.00042431126,-0.00036871992,0.001048198,-0.0018585324,0.0015856698,0.00074740953,0.00019054022,0.0005595656,-0.0010376396,-0.00052208826,0.00095615536,0.00077417307,-0.0004448276,-0.0002515409,-0.0001848489,0.00019482523,-0.0002859733,0.00029305788,0.0007240479,-0.0006324863,-0.0004968289,-0.00046184845,0.0014242325,9.782426e-05,-0.00023874454
CC(N)COCC(C)OCC(C)OCC(C)N,-0.00027730316,-0.0015288824,0.0015802435,0.00084884465,-0.00029029348,-1.633726e-05,0.0002524401,-6.035762e-05,0.0018944079,0.0009365268,-0.003002598,0.0011677071,0.0018890491,0.00074149854,0.00023434497,0.001553488,-0.0004367854,-0.0008765571,-0.0012885127,-8.833595e-06,-0.00038456568,-0.0011123351,-0.0011855783,-0.00057424477,-0.00063483324,-0.00076371245,0.0010060081,0.00058335066,0.0027238028,-0.0002156042,-0.00015629083,0.00093686546,-0.0010695336,0.002133267,0.0016624434,-0.0005629624,0.0004022047,-0.0017440589,-0.0008438276,-0.0017335208,-0.001302747,0.0014273357,-0.0029391218,0.00074961036,0.0015882243,-0.0020555789,-0.00031787064,-0.00077335536,-0.0009389883,0.0011779964,6.559305e-05,-0.0009157285,-0.001568513,-0.00017730892,0.0016205963,0.00067035714,0.0011954119,0.00018378766,0.0008769985,-2.2597611e-05,0.00025604106,0.0031090304,-7.203221e-05,0.0002565477
CCCCCCCCCCN,-0.00011957623,-0.002021904,0.0023181872,0.0011426955,-0.00013049715,-0.00025698077,-0.00048116362,-0.0001641796,0.0028003547,0.00092341006,-0.0040231226,0.0021319333,0.0021269526,0.0015247986,0.0013036896,0.0025694938,-0.00062021497,-0.0004462488,-0.0012528067,-0.00025528483,0.0006407595,-0.0011863231,-0.0016363254,0.0001219603,-0.0025731018,-0.0013750382,0.002120994,0.0009372365,0.004501038,0.00011423486,-0.0010114629,0.0012676936,-0.0008310871,0.0026660245,0.0019502556,-0.0008015188,0.0009596646,-0.0015043495,-0.000476731,-0.0018497414,-0.0015772358,0.0022406746,-0.003698418,0.00044542924,0.0019845655,-0.0024239747,0.00045408774,-0.00097057223,-0.0012881635,0.001961045,-0.0004655011,-0.0009460747,-0.0013746154,-7.826835e-05,0.002588883,0.00080525735,0.0016048381,0.00020862417,0.0004785778,-0.0004973952,0.0005811192,0.0043373946,-0.0007206239,0.0010359623
CC(C)(COCC1CO1)COCC1CO1,-0.00022590905,-0.0017000753,0.0017764415,0.0008215625,-0.000577193,-1.2923963e-05,0.0001126104,-0.00019743899,0.0020647282,0.0010663364,-0.0035612294,0.0015879739,0.0022871438,0.00086686015,0.00029988587,0.0022285422,-0.00036187354,-0.0008320231,-0.0015744613,-0.00065033697,-8.189422e-05,-0.0009911663,-0.001226739,-0.00029595348,-0.001292116,-0.0010966342,0.0013628313,0.00082619116,0.0030908054,-5.1855342e-05,-0.00090002455,0.0010880452,-0.0009880373,0.0021439623,0.0018678382,-0.00073639513,0.0004449021,-0.0015852852,-0.0005615754,-0.0018093612,-0.0015754104,0.0017755944,-0.0033162832,0.0007140748,0.0017551341,-0.002093711,0.00012952741,-0.00063379854,-0.000808551,0.0018534865,-0.00032055937,-0.0010155253,-0.0014872197,-0.00011420995,0.0020780638,0.00061788084,0.00144897,0.00021236436,0.00081695523,0.0002917517,0.00017831847,0.0038343165,-0.00022589788,0.000401631
CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,-9.515509e-05,-0.00010875054,0.0004885434,5.9068203e-05,-0.0005085154,0.00014346186,-3.800029e-05,0.00029453402,0.00081775244,0.00031772815,-0.001835837,0.00044265762,0.0014784057,0.000396356,-0.0006651338,0.00085540954,0.0001559679,-0.0007908046,-0.0008861236,-0.00054407306,-0.0010343583,-0.0002417292,9.9756755e-05,-0.00064232026,0.0005009426,-0.00024109334,0.00048582256,0.00016277842,0.0006810231,-0.000344272,0.00033441558,0.0009543855,-0.0016715406,0.0004937742,0.0012391498,3.8310653e-05,8.002296e-05,-0.0016437536,0.00021667406,-0.0008333239,-0.0002899263,0.0020248517,-0.0021706,0.0014486574,0.0006368094,-0.00021040346,-0.00019937847,-0.00060151424,-0.0005158251,0.00077661313,0.00031656772,-0.00034141168,-0.0009661522,-0.00032700785,0.00061226264,-0.00029473891,0.0005309875,0.000308136,5.2674673e-05,-0.000105672516,-0.00042067282,0.0019501504,3.774464e-05,-0.000104283914
CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,8.400157e-05,0.00020112749,-0.00024088146,-0.00037353672,-0.0003499838,0.000100045465,4.0622894e-05,0.0003188965,0.0008412786,0.0001713438,-0.0015076781,0.00024746917,0.0016130814,0.00013327599,-0.0006662775,0.0004978208,0.0006067802,-0.0009856746,-0.0007586321,-0.00014575943,-0.0011127016,-0.0002537209,-7.227715e-05,-0.00061632146,0.0007784162,0.00038649328,0.00033249427,0.00024764612,0.00041209254,-0.0005141061,0.00051646866,0.0011526566,-0.0014932631,-0.000104812905,0.0010253219,0.000312438,-0.000117460266,-0.0015916815,0.00018890947,-0.00064852345,7.698312e-06,0.002049679,-0.0019838419,0.001162909,0.00071713224,0.0002950551,1.8668361e-05,-0.0003533922,-0.000349205,0.0007055197,0.0006895866,-0.00014043227,-0.0007831715,-0.0001279246,0.00026297942,-0.00033603935,0.0004935018,0.00048637437,-0.00032339245,-0.00045960397,-0.00062500313,0.0011650268,0.00048321486,0.00014640205
CC(N)COCC(C)COCC(C)CN,8.34465e-07,-0.001637429,0.0018677642,0.0012383871,-0.00022881129,7.5216405e-05,9.342423e-05,-9.0916175e-05,0.0019535897,0.00088171195,-0.0033258637,0.0014536846,0.0017828066,0.0008100569,0.0004764162,0.0018798308,-0.0006406575,-0.00085092336,-0.0012936452,-0.00028604362,-0.00011725235,-0.0008415289,-0.00092297327,-0.0006144742,-0.0010273075,-0.0008712318,0.0012769522,0.0005146004,0.0029142173,7.737498e-05,-0.000327928,0.00093061815,-0.0010110056,0.0019569974,0.0018795272,-0.0006261694,0.000592703,-0.0016155252,-0.00074155815,-0.0017319049,-0.0012480076,0.001666477,-0.003014097,0.00053855404,0.0014870827,-0.0020309156,-0.00036793295,-0.0009289328,-0.0012342473,0.0011601821,-7.020123e-05,-0.0007398445,-0.0013762992,-0.00022357516,0.0019502463,0.00070105726,0.0012467073,0.00023330422,0.0008457266,0.00030089729,-3.7681311e-06,0.0036930908,-0.0001927372,0.00042087585
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,0.0010203049,0.001095769,-0.0015734346,-0.001551602,-0.0007236304,-0.00038449932,0.00029874593,0.00062488345,-0.00023681205,-0.00011076499,0.0012717387,-0.00037742592,-0.00092543056,3.396347e-05,-0.00069486536,-0.001047452,0.0016656306,-0.0012078956,-0.0003139265,0.00011167303,-0.0009236268,-0.0006934393,0.00024605636,0.0008296309,0.0005021151,2.3683533e-05,4.369486e-05,-0.00043000095,-0.0028248858,-2.518599e-05,0.00039098598,0.0015500259,-8.940045e-05,-0.0016827267,-0.00062015746,0.0011046843,-0.0010286421,0.00029376056,0.00041898154,0.00076212944,0.00089886226,0.0008230731,0.00031104684,0.00012688152,-6.681413e-05,0.0014351457,0.0023375778,-0.0007206332,0.00027874205,-0.00019185245,4.6260655e-05,-0.00073338486,-3.6122277e-05,-0.0010100622,-0.00132359,-0.00043294905,-0.0009661461,0.0014120997,-0.00061447034,0.0013238899,0.0004228186,-0.00045358203,0.0010407865,-0.0013484452
Nc1ccc(Oc2ccc(N)cc2)cc1,-0.0004391484,-0.0019971794,0.0024929228,0.0012659822,-0.000429122,-0.0001642881,0.00021714205,-0.0007308773,0.0026817545,0.0018214583,-0.0039136605,0.0016171895,0.002774382,0.0016955677,0.00040889904,0.0017485889,-0.001293144,-0.0008466169,-0.0015672408,0.0005500382,0.00074969814,-0.0015441317,-0.0020669727,-0.0004879149,-0.00073088985,-0.002151275,0.0010248413,0.0021927245,0.0037922887,5.2678166e-05,-0.0010933895,0.0014687997,-0.0010811221,0.002842579,0.0020107618,-0.00086503127,1.6868114e-05,-0.0018409444,-0.0013724482,-0.0020416917,-0.001488341,0.0011049286,-0.003333917,0.0005277842,0.0015301768,-0.0028927466,-0.00036592875,-0.0008787187,-0.00081168395,0.002004942,-0.0002673939,-0.0017643683,-0.00095481426,0.00039777998,0.0025312733,0.00040888274,0.0010909173,0.00052597607,0.0011780439,-5.9477985e-05,0.00049758144,0.0044561345,-0.00078282505,0.0007282179
