smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
Nc1ccc(N)cc1,-0.001137539,0.0008967137,-0.00057144836,0.004112209,-0.0070057027,0.002273324,0.006375649,-0.009134726,-0.003071731,-0.00067920424,-0.013724377,0.0011993833,-0.005729677,0.0061280876,-0.0021369336,-0.005127821
Nc1cc(N)cc(N)c1,-0.0009575144,0.0006015524,-0.00075962767,0.003365565,-0.006685888,0.0023512845,0.0059358263,-0.008991584,-0.0026970431,-0.000993155,-0.014499501,0.001488898,-0.0062498413,0.0061096214,-0.0023353053,-0.0049371766
Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,-0.003006562,0.00091025233,-0.0010948982,0.004046235,-0.007162625,0.003367261,0.0056573516,-0.0077781,-0.00171539,-5.3863972e-05,-0.013817517,0.0011883304,-0.0065903906,0.0050700316,-0.0024952935,-0.0036365772
N#CC(CC=CCC1CO1)CCC=CCC1CO1,-0.00075611495,0.00048280787,0.0012996197,0.004368633,-0.0074664527,0.0030540065,0.007440542,-0.008909525,-0.000963971,-0.0017761467,-0.012755596,0.0019443897,-0.008490766,0.0043019652,-0.002187022,-0.008350644
N#CNC(=N)N,-0.0010713937,0.00064832065,0.0001267381,0.0039664954,-0.00711382,0.002914438,0.0053453315,-0.008674572,-0.0028831065,-0.0013322905,-0.015151196,0.0023135967,-0.0059127975,0.0060954615,-0.0021435935,-0.005860354
Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,-0.0023979826,0.0024019796,0.00086167455,0.004011791,-0.0055591757,0.004967256,0.004737274,-0.008794094,-0.0027726106,0.002118254,-0.0144738825,0.0015405798,-0.0068078823,0.0046165325,-0.0012480794,-0.0058748676
Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,-0.0016270925,0.002337426,0.0014054291,0.002931232,-0.0052606417,0.004800128,0.004342544,-0.008372994,-0.0025931913,0.0020852257,-0.013808196,0.000594452,-0.0060416106,0.004207977,-0.001616409,-0.004915721
Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,-0.0039589433,0.0020456081,-0.00053838827,0.00438434,-0.006648686,0.0027371682,0.006914134,-0.008961478,-0.0015176497,-0.0003707409,-0.014262098,0.0001597004,-0.0069950437,0.0053700795,-0.0029859701,-0.004523499
O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,-0.0033958212,0.0026129144,-0.00058633834,0.0025635061,-0.0069595072,0.003347633,0.006192471,-0.008873737,-9.824708e-05,0.0007952843,-0.014917473,0.0009694677,-0.007193558,0.0049647456,-0.0036095968,-0.0038709352
O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,-0.00220003,0.0027302182,-0.0002563242,0.0019897278,-0.0056420034,0.002961351,0.0059461044,-0.008921688,0.0004141759,0.0013459437,-0.015059796,-0.00035467558,-0.0061962837,0.0066664815,-0.003339869,-0.004089173
Cc1ccc(N=C=O)cc1N=C=O,-0.0006921955,0.00083202403,0.0005144831,0.004604732,-0.007543872,0.0021624684,0.007355651,-0.0085225105,-0.0019021686,-0.0012384579,-0.012989626,0.0020394702,-0.008076806,0.0062601604,-0.0023548584,-0.005559901
CC1OC(=O)OC(C)C1=O,0.00015864777,-0.00012505706,0.00050356984,0.0035731355,-0.0077585736,0.002688631,0.005618061,-0.008868348,-0.0017506722,-0.0012727249,-0.014358497,0.002172721,-0.0072713103,0.0051852874,-0.0024157064,-0.006007498
OCCCCCCO,-0.0014287943,0.0008624783,0.00034775026,0.00390292,-0.007300919,0.003662707,0.005823613,-0.008308921,-0.0024610814,-0.0010609701,-0.014440118,0.0022839676,-0.006191645,0.0062875766,-0.0018124329,-0.0063183233
CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2],-0.00069186115,0.00018766895,0.00095752813,0.002126942,-0.007388894,0.002964073,0.005265477,-0.008686064,-0.00029731728,0.00030375645,-0.0135882655,0.00082848687,-0.0073833754,0.0030104863,-0.0027158624,-0.005992136
O=C1OCCCO1,-0.0007182753,0.00091922935,0.00061428733,0.0042411475,-0.007589913,0.00310958,0.006150509,-0.008901291,-0.0024371352,-0.0013105152,-0.014076186,0.0016635126,-0.0064572524,0.0053372374,-0.002082237,-0.0067477645
