smiles_a,smiles_b,ratio_a,ratio_b,predicted_tg,target_distance,compatibility_reason
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.5,0.5,195.07208601858272,0.0720860185827234,环氧-羟基醚化，常需催化剂。
CC(C)(C)N,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,0.6,0.4,195.07349076813892,0.0734907681389529,环氧-伯胺开环固化。
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05,0.95,195.0777005992173,0.0777005992173087,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,0.6,0.4,194.9217208454995,0.0782791545005068,环氧-伯胺开环固化。
O=C(O)CC(O)(CC(=O)O)C(=O)O,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.65,0.35,194.9200604306288,0.0799395693711915,环氧-羧酸开环酯化。
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,0.4,0.6,194.91926557922017,0.0807344207798337,环氧-伯胺开环固化。
CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.45,0.55,195.08371769832956,0.0837176983295364,环氧-伯胺开环固化。
CC(C)(C)N,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.65,0.35,195.0877861362165,0.0877861362164651,马来酰亚胺-胺 Michael 加成。
CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,C#Cc1cccc(N2COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3C2)c1,0.2,0.8,194.9116566845341,0.0883433154658632,环氧-羟基醚化，常需催化剂。
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,Nc1ccc(N)cc1,0.4,0.6,195.09108186794663,0.0910818679466558,环氧-伯胺开环固化。
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.5,0.5,195.0932308892783,0.0932308892782884,环氧-伯胺开环固化。
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,Nc1cc(N)cc(N)c1,0.7,0.3,194.90594531197436,0.0940546880256647,马来酰亚胺-胺 Michael 加成。
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,0.2,0.8,194.90582456343512,0.0941754365648819,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1,0.45,0.55,194.90422558534223,0.0957744146577397,异氰酸酯-羟基形成聚氨酯。
CC(CO)CO,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,0.05,0.95,194.89574095704376,0.1042590429562153,环氧-羟基醚化，常需催化剂。
