ML method,latent_size,model_family,MAPEK test dataset (%),MAE test dataset (C),RMSE test dataset (C),MAPE test dataset (%),PCP test dataset (%),R2 test,model_path
VAE (512) + XGBoost_hist_depth5,512,model_zoo,4.725470335445065,21.31224454413442,39.63611308525594,121.19993845596994,58.82352941176471,0.8302720785140991,artifacts/reproduce/predictors/latent_512/zoo_xgboost_hist_depth5_latent_512.joblib
VAE (512) + HistGradientBoosting,512,model_zoo,4.732321636339513,21.403908765415917,40.1781172366062,110.62833556112098,60.29411764705882,0.825598443469214,artifacts/reproduce/predictors/latent_512/zoo_histgradientboosting_latent_512.joblib
VAE (512) + GradientBoosting_huber,512,model_zoo,4.790372722662861,21.03249008483255,39.32952273743447,90.10784837351898,60.29411764705882,0.832887650208856,artifacts/reproduce/predictors/latent_512/zoo_gradientboosting_huber_latent_512.joblib
VAE (512) + LightGBM_leaves63,512,model_zoo,4.834256854870081,21.92738371759728,40.23136710876941,99.11006286771216,57.35294117647059,0.8251358526174153,artifacts/reproduce/predictors/latent_512/zoo_lightgbm_leaves63_latent_512.joblib
VAE (512) + CatBoost_depth8,512,model_zoo,4.954119402229821,22.148331059736933,41.780055425179626,138.49720607183897,60.29411764705882,0.8114141007907425,artifacts/reproduce/predictors/latent_512/zoo_catboost_depth8_latent_512.joblib
VAE (512) + CatBoost_depth6,512,model_zoo,4.994752055506118,22.185087294565143,41.07118111150983,126.73357413716704,63.23529411764706,0.8177592147677635,artifacts/reproduce/predictors/latent_512/zoo_catboost_depth6_latent_512.joblib
VAE (128) + ExtraTrees_600,128,model_zoo,5.002822275312773,22.778241753327265,44.7476068386771,98.53454471591698,54.41176470588235,0.7836729536590056,artifacts/reproduce/predictors/latent_128/zoo_extratrees_600_latent_128.joblib
VAE (1024) + GaussianProcess_RBF,1024,model_zoo,5.05725689902984,21.80438325785669,42.082783536134144,24.63788791008767,64.70588235294117,0.8086713048095,artifacts/reproduce/predictors/latent_1024/zoo_gaussianprocess_rbf_latent_1024.joblib
VAE (128) + ExtraTrees_300,128,model_zoo,5.05926303904758,23.0944098855528,45.10988131309805,93.29652086224156,61.76470588235294,0.7801560278831277,artifacts/reproduce/predictors/latent_128/zoo_extratrees_300_latent_128.joblib
VAE (256) + XGBoost_hist_depth5,256,model_zoo,5.223939033825971,23.927102414124157,45.81733904262184,46.87700261704276,58.82352941176471,0.7732062935829163,artifacts/reproduce/predictors/latent_256/zoo_xgboost_hist_depth5_latent_256.joblib
VAE (256) + LightGBM_leaves31,256,model_zoo,5.298699239820005,24.040416403898767,43.75691698612712,70.10169459276918,55.88235294117647,0.7931456666227438,artifacts/reproduce/predictors/latent_256/zoo_lightgbm_leaves31_latent_256.joblib
VAE (512) + KNN_3_uniform,512,model_zoo,5.299535819221216,23.82484032388996,47.88364870374339,71.58768537300564,54.41176470588235,0.7522887587547302,artifacts/reproduce/predictors/latent_512/zoo_knn_3_uniform_latent_512.joblib
VAE (128) + XGBoost_hist_depth5,128,model_zoo,5.318279496134333,24.15368895232677,47.09426699933776,97.6957530698753,57.35294117647059,0.7603887319564819,artifacts/reproduce/predictors/latent_128/zoo_xgboost_hist_depth5_latent_128.joblib
VAE (256) + LightGBM_leaves63,256,model_zoo,5.355554341169357,24.298231908761576,44.32093025993088,86.41176551046286,60.29411764705882,0.7877787208198109,artifacts/reproduce/predictors/latent_256/zoo_lightgbm_leaves63_latent_256.joblib
