source_candidate_tg,replace_side,original_smiles,replacement_smiles,replacement_source,replacement_label,replacement_template_family,replacement_template_intended_group,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Oc1ccc(Oc2ccc(O)cc2)cc1,library,library_212,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.4090909090909091
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(COCC2CO2)ccc1OCC1CO1,library,library_113,,,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.46808510638297873
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,library,library_115,,,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.40816326530612246
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,library,library_117,,,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.4
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,library,library_65,,,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.3877551020408163
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,library,library_104,,,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.375
195.0074809970216,b,CC1(C)CC(CN)CC(C)(N)C1,CC1(C)CC(CN)CC(CN)C1,library,library_119,,,primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.5384615384615384
195.0074809970216,b,CC1(C)CC(CN)CC(C)(N)C1,CC1(C)CC(N)CC(C)(CN)C1,library,library_114,,,primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.375
195.0074809970216,b,CC1(C)CC(CN)CC(C)(N)C1,CC1(C)CC(N)CC(C)(C)C1CN,library,library_129,,,primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.3225806451612903
195.0074809970216,b,CC1(C)CC(CN)CC(C)(N)C1,CCCCN,library,library_32,,,primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.13793103448275862
195.0074809970216,b,CC1(C)CC(CN)CC(C)(N)C1,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,library,library_17,,,primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.13513513513513514
195.01964735721148,a,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,library,library_66,,,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.6818181818181818
195.01964735721148,a,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,COc1cc(C(c2cc(C)c(OCC3CO3)c(OCC3CO3)c2)c2cc(C)c(OCC3CO3)c(OCC3CO3)c2)ccc1OCC1CO1,library,library_110,,,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.4423076923076923
195.01964735721148,a,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,library,library_115,,,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.4375
195.01964735721148,a,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,library,library_117,,,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.42857142857142855
195.01964735721148,a,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(OCC3CO3)c(OC)c2)cc(OC)c1OCC1CO1,library,library_133,,,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.4166666666666667
195.01964735721148,b,OCCOCCO,COCCOCCOCCOCCOCCOCCOCCOCCO,library,library_96,,,ether;hydroxyl,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.625
195.01964735721148,b,OCCOCCO,NCCOCCOCCN,library,library_25,,,ether;hydroxyl,aromatic;epoxy;ether,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.3125
195.01964735721148,b,OCCOCCO,OCCCCO,library,library_100,,,ether;hydroxyl,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.3076923076923077
195.01964735721148,b,OCCOCCO,OCCCCCCO,library,library_229,,,ether;hydroxyl,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,preserve_complementary_reactive_pair,0.2857142857142857
195.01964735721148,b,OCCOCCO,NCCCOCCOCCCN,library,library_30,,,ether;hydroxyl,aromatic;epoxy;ether,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.2777777777777778
195.02246564460987,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21,,,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.8235294117647058
195.02246564460987,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,library,library_150,,,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6470588235294118
195.02246564460987,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,library,library_147,,,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.56
195.02246564460987,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(N)cc1,library,library_217,,,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.47058823529411764
