ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (512) + PLS_2,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_pls_2_latent_512.joblib,27.631578947368425,20.588235294117645,54.731086036164434,294.5856685969391,9.47302173031439,12.003373230922767,37.73695386456467,49.94678891322423,48.02949735002756,67.01790254050371,0.6493102216667375,0.5147641759313281
VAE (512) + PLS_8,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_pls_8_latent_512.joblib,41.31578947368421,33.82352941176471,46.42566620674919,280.8834935931212,6.742577731197782,8.241128541224962,26.543065279962367,34.44331808681288,35.03996205637931,49.700806805939294,0.8133472990208903,0.7331310352129188
VAE (512) + GaussianProcess_RBF,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_gaussianprocess_rbf_latent_512.joblib,98.94736842105263,66.17647058823529,2.370094910761169,16.596516907559035,0.5524222541665399,3.9778051975274606,2.1529905030731875,18.764057961351714,3.5093217546047577,40.43710014932832,0.9981277949961282,0.823342857763097
VAE (512) + XGBoost_hist_depth3,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_xgboost_hist_depth3_latent_512.joblib,97.36842105263158,61.76470588235294,3.587672851298708,92.6196815575463,0.6585325604749969,4.559109667741952,2.5175171883482683,20.442914180019322,3.271860165635444,38.60561785929583,0.9983726143836975,0.8389828205108643
VAE (512) + XGBoost_hist_depth5,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_xgboost_hist_depth5_latent_512.joblib,99.47368421052632,58.82352941176471,1.2978281852826024,121.19993845596994,0.24131255457324544,4.725470335445065,0.9207088388894734,21.31224454413442,1.1837483272901363,39.63611308525594,0.9997869729995728,0.8302720785140991
VAE (512) + LightGBM_leaves31,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_lightgbm_leaves31_latent_512.joblib,98.94736842105263,57.35294117647059,1.3627409416571634,99.65824150068472,0.26228668913999226,4.69167165774112,1.1169826083267014,21.23577384080305,3.2358613033158656,39.309818289985245,0.9984082061542441,0.8330550578665117
VAE (512) + LightGBM_leaves63,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_lightgbm_leaves63_latent_512.joblib,98.15789473684211,57.35294117647059,2.417929448421881,99.11006286771217,0.44965702638359983,4.834256854870081,1.8716630804893084,21.92738371759728,4.432347483867453,40.23136710876941,0.9970134167470825,0.8251358526174153
VAE (512) + CatBoost_depth6,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_catboost_depth6_latent_512.joblib,91.3157894736842,63.23529411764706,6.810017541434806,126.73357413716704,1.1355770842433623,4.994752055506118,4.332779900555747,22.185087294565143,5.476655308006774,41.07118111150983,0.9954402835096992,0.8177592147677635
VAE (512) + CatBoost_depth8,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_catboost_depth8_latent_512.joblib,90.0,60.29411764705882,8.24236246949116,138.49720607183895,1.3545522909419836,4.954119402229821,5.175949444973668,22.148331059736933,6.635446081793212,41.780055425179626,0.9933065923849341,0.8114141007907425
VAE (512) + NGBoost,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_ngboost_latent_512.joblib,94.73684210526315,58.82352941176471,4.699811277893541,115.05365593183015,0.8248070075316185,4.699063103999189,3.139096102869449,20.962906197992815,4.023348717052328,37.800968932969674,0.9975391656729176,0.8456249691448721
