smiles,groups,invalid
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,aromatic;hydroxyl;phenol,False
CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,aromatic;epoxy;ether,False
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,aromatic;epoxy;ether,False
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,aromatic;epoxy;ether,False
N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1,aromatic;cyanate_ester;ether;nitrile,False
NCCNCCN,primary_amine;secondary_amine,False
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;isocyanate,False
O=C(CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCO)OCCCCO,ester;ether;hydroxyl,False
CCC(CO)(CO)CO,hydroxyl,False
O=C(CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCO)OCCCCO,ester;ether;hydroxyl,False
O=C(CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCOC(=O)CCCC(=O)OCCCCO)OCCCCO,ester;ether;hydroxyl,False
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
O=NN([O-])c1ccccc1.O=NN([O-])c1ccccc1.O=NN([O-])c1ccccc1.[Al+3],aromatic,False
CC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;thiol,False
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,aromatic;vinyl,False
C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,ester;ether;secondary_amine;vinyl,False
C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,ester;ether;secondary_amine;thiol;vinyl,False
C=CCOCC(CO)(COCC=C)COCC=C,ether;hydroxyl;vinyl,False
C=C(C)C(=O)OC,ester;ether;vinyl,False
O=C(OOC(=O)c1ccccc1)c1ccccc1,aromatic,False
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
CC(C)(CCC(C)(C)N=C=O)CN=C=O,isocyanate,False
C=CCOCC(CC)(CO)CO,ether;hydroxyl;vinyl,False
CC(CO)CO,hydroxyl,False
C=CCCO,hydroxyl;vinyl,False
O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,aromatic;thiol,False
CC(C)(CO)CO,hydroxyl,False
OCC1CCC(CO)CC1,hydroxyl,False
O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,isocyanate,False
O=C=NCCCCCCN=C=O,isocyanate,False
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;thiol,False
CCO[Si](CCCN(CCC(=O)OCCO)CCC(=O)OCCO)(OCC)OCC,ester;ether;hydroxyl,False
CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,isocyanate,False
COCCOCCOCCOCCOCCOCCOCCOCCO,ether;hydroxyl,False
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,aromatic;primary_amine,False
OCCOCCO,ether;hydroxyl,False
OCCCCO,hydroxyl,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,aromatic;epoxy;ether;vinyl,False
COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC,aromatic;epoxy;ether,False
C(=N/c1ccc(OCC2CO2)cc1)\c1ccc(OCC2CO2)cc1,aromatic;epoxy;ether,False
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,aromatic;epoxy;ether,False
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,aromatic;epoxy;ester;ether,False
COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1,aromatic;epoxy;ether,False
COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,aromatic;epoxy;ether,False
COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1,aromatic;epoxy;ether;hydroxyl;phenol,False
COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,aromatic;epoxy;ether;hydroxyl;phenol,False
COc1cc(C(c2cc(C)c(OCC3CO3)c(OCC3CO3)c2)c2cc(C)c(OCC3CO3)c(OCC3CO3)c2)ccc1OCC1CO1,aromatic;epoxy;ether,False
CCCCC1OC1CCCCC1OC1CCCCCCCC(=O)Oc1ccccc1,aromatic;epoxy;ester;ether,False
COc1cc(COCC(O)CN)ccc1OCC(O)CN,aromatic;ether;hydroxyl;primary_amine,False
COc1cc(COCC2CO2)ccc1OCC1CO1,aromatic;epoxy;ether,False
CC1(C)CC(N)CC(C)(CN)C1,primary_amine,False
COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether;hydroxyl,False
COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether;hydroxyl,False
COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,False
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,aromatic;epoxy;ether,False
CC1(C)CC(CN)CC(CN)C1,primary_amine,False
NCCCCCCCCCCN,primary_amine,False
c1coc(CNCc2ccco2)c1,aromatic;secondary_amine,False
COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
COc1ccc(OCC2CO2)c(CCC(=O)OC2CC3OCC(OC(=O)CCc4ccc(OCC5CO5)c(OC)c4)C2O3)c1,aromatic;epoxy;ester;ether,False
COc1ccc(OCC2CO2)c(CCC(=O)OCC(COC(=O)CCc2ccc(OCC3CO3)c(OC)c2)OC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
CC1CCC2C(=O)OC(=O)C2C1,anhydride;ester;ether,False
CC(=O)/C=C(/C)[O][Zn][O]/C(C)=C\C(C)=O,vinyl,False
COc1ccc(OCC2CO2)c(C(c2ccc(OCC3CO3)c(OC)c2)c2cc(OC)ccc2OCC2CO2)c1,aromatic;epoxy;ether,False
COc1ccc(OCC2CO2)c(CCCC(=O)OCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
CC1(C)CC(N)CC(C)(C)C1CN,primary_amine,False
COc1ccc(OCC2CO2)c(CCCC(=O)OCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;epoxy;ester;ether,False
COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(OCC3CO3)c(OC)c2)cc(OC)c1OCC1CO1,aromatic;epoxy;ether,False
CC(C)(c1occc1CN)c1occc1CN,aromatic;primary_amine,False
NCCCOC1COC2C(OCCCN)COC12,ether;primary_amine,False
OC(COC1COC2C(OCC3CO3)COC12)COC1COC2C(OCC3CO3)COC12,epoxy;ether;hydroxyl,False
NCCN,primary_amine,False
NCCNCCNCCN,primary_amine;secondary_amine,False
NCCN1CCNCC1,primary_amine;secondary_amine,False
CC1(C)CC(CN)CC(C)(N)C1,primary_amine,False
CC(=O)/C=C(/C)[O][Zn][O]/C(C)=C\C(C)=O.O,vinyl,False
Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,aromatic;ether;primary_amine,False
O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,anhydride;aromatic;ester;ether,False
C=Cc1ccccc1,aromatic;vinyl,False
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,aromatic;ether;primary_amine,False
O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,anhydride;aromatic;ester;ether,False
CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,aromatic;ether;primary_amine,False
CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,aromatic;cyanate_ester;ether;nitrile,False
O=C(Oc1cccc(OC(=O)c2ccc(OCCOCC3CO3)cc2)c1)c1ccc(OCCOCC2CO2)cc1,aromatic;epoxy;ester;ether,False
Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;primary_amine,False
CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,aromatic;primary_amine,False
