row_index,author,no,names,smiles,ratios,tg,n_monomers
0,Warren 2010,1,DEGDA,C=CC(=O)OCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.06266000:0.93210000:0.00524000,66.0,3
1,,2,DEGDMA【Averaged from Warren 2010 (74.0C) and Ortega 2008 (72.8C) for the identical 10wt% DEGDMA recipe to eliminate experimental random noise】,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.05581000:0.93891000:0.00528000,73.4,3
2,,3,PEGDA-2,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.04523000:0.94944000:0.00533000,60.0,3
3,,4,PEGDA-4,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.02667000:0.96789000:0.00544000,52.0,3
4,,5,PEGDMA,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.04155000:0.95310000:0.00535000,65.0,3
5,"Lakhera et al., 2012",1,10wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.96493900:0.01703500:0.01748900:0.00053700,53.31,4
6,,2,20wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.92495100:0.03674600:0.03772400:0.00057900,53.35,4
7,,3,30wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.82262200:0.08718500:0.08950600:0.00068700,57.11,4
8,"Wu et al., 2016",,,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1|Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.66667000:0.33333000,170.0,2
9,"Santiago et al., 2016b",1,90-10-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.67746000:0.31429000:0.00825000,60.0,3
10,,2,80-20-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.70310000:0.28083000:0.01607000,68.0,3
11,,3,70-30-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.72920000:0.24637000:0.02443000,77.0,3
12,,4,60-40-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.75520000:0.21239000:0.03241000,87.0,3
13,,5,50-50-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.78039000:0.17911000:0.04050000,96.0,3
14,,6,40-60-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.80468000:0.14704000:0.04828000,104.0,3
15,,7,30-70-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.82810000:0.11627000:0.05563000,117.0,3
16,,8,90-10-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.67872549:0.31519608:0.00607843,56.0,3
17,,9,80-20-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.70945545:0.28325743:0.00728713,64.0,3
18,,10,70-30-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.74157000:0.25329000:0.00514000,70.0,3
19,,11,60-40-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.76294000:0.21641000:0.02065000,79.0,3
20,,12,50-50-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.78847000:0.17813000:0.03340000,89.0,3
21,,13,40-60-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.82656000:0.12729000:0.04615000,99.0,3
22,,14,30-70-PR,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.86322000:0.11139000:0.02539000,112.0,3
23,Ortega 2012,2,2% crosslink tba & PEGDMA,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.98891000:0.00336000:0.00268000:0.00505000,57.0,4
24,,3,10% crosslink tba & PEGDMA,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.96263000:0.01780000:0.01422000:0.00535000,56.0,4
25,,4,CA 40 wt%,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.82788172:0.09185908:0.07335927:0.00689993,55.0,4
26,Xie and Rousseau2009,1,REF,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N,0.66667000:0.33333000,93.7,2
27,,3,DA2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCCCCCCCN,0.57143000:0.14286000:0.28571000,66.9,3
28,,6,NGDE1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(COCC1CO1)COCC1CO1,0.50000000:0.33333000:0.16667000,72.9,3
29,,8,NGDE3,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(COCC1CO1)COCC1CO1,0.16667000:0.33333000:0.50000000,32.7,3
30,Rousseau and Xie2010,,E-D400,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,0.73529000:0.26471000,44.0,2
31,,,E-T403,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,0.77519000:0.22481000,75.3,2
32,,,E-C10,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)CN|CCCCCCCCCCN,0.62546375:0.25093749:0.12359876,62.6,3
33,,,E25-NGDE,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)CN|CC(C)(COCC1CO1)COCC1CO1,0.16667000:0.33333000:0.50000000,31.4,3
34,,,E50-NGDE,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)CN|CC(C)(COCC1CO1)COCC1CO1,0.33333333:0.33333333:0.33333333,48.1,3
35,,,E75-NGDE,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)CN|CC(C)(COCC1CO1)COCC1CO1,0.47333473:0.33333333:0.19333193,72.0,3
36,,,E100-NGDE,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)COCC(C)CN,0.66667000:0.33333000,93.1,2
37,Xiao2015,A0,1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.50000000:0.50000000,238.0,2
38,,A1,2,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.50378000:0.49622000,236.0,2
39,,A2,3,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.51151000:0.48849000,234.0,2
40,,A3,4,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.51948000:0.48052000,231.0,2
41,,A4,5,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.52356000:0.47644000,229.0,2
42,,B1(TAP 1%),6,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50125000:0.49373000:0.00502000,240.0,3
43,,B2(TAP 3%),7,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50378000:0.48111000:0.01511000,241.0,3
44,,B3(TAP 5%),8,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50633000:0.46835000:0.02532000,243.0,3
45,,B4(TAP 6%),9,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50761000:0.46193000:0.03046000,242.0,3
46,"Löwheratham (Thesis), 2011",ENDB 1/1/1/0,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(N)COCC(C)OCC(C)OCC(C)N,0.33333333:0.33333333:0.33333333,57.0,3
47,,ENDB 1/1/0.8/0.2,2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,0.33330000:0.33330000:0.26670000:0.06670000,80.0,4
48,,ENDB 1/1/0.6/0.4,3,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,0.33333333:0.33333333:0.20002000:0.13331333,88.0,4
49,,ENDB 1/1/0.4/0.6,4,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,0.33333333:0.33333333:0.13331333:0.20002000,97.0,4
50,,ENDB 1/1/0.2/0.8,5,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,0.33330000:0.33330000:0.06670000:0.26670000,105.0,4
51,,ENDB 1/1/0/1,6,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(C)(COCC1CO1)COCC1CO1|CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,0.33333333:0.33333333:0.33333333,129.0,3
52,"Feldkamp and Rousseau, 2010",E-900(1)148,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|NCCOCCOCCN,0.50000000:0.25291000:0.24709000,36.5,3
53,,E-900(2)148,2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|NCCOCCOCCN,0.50000000:0.16447000:0.33553000,53.99,3
54,,E-900(3)148,3,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|NCCOCCOCCN,0.50000000:0.12682000:0.37318000,61.6,3
55,,E-900(1)230,4,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|CC(N)COCC(C)OCC(C)OCC(C)N,0.50000000:0.24839000:0.25161000,38.93,3
56,,E-900(2)230,5,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|CC(N)COCC(C)OCC(C)OCC(C)N,0.50000000:0.16756000:0.33244000,54.77,3
57,,E-900(3)230,6,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|CC(N)COCC(C)OCC(C)OCC(C)N,0.50000000:0.12346000:0.37654000,63.41,3
58,,E-900(4)230,7,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N|CC(N)COCC(C)OCC(C)OCC(C)N,0.50000000:0.09988000:0.40012000,66.4,3
59,,D-148(04)M600,8,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,0.50000000:0.34602000:0.15398000,60.39,3
60,,D-148(02)M1000,9,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,0.50000000:0.40193000:0.09807000,57.07,3
61,,D-148(01)M2070,10,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.50000000:0.44803000:0.05197000,62.74,3
62,,D-148(002)M1000,11,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,0.50000000:0.48924000:0.01076000,94.57,3
63,,D-148(002)M2005,12,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.50000000:0.48924000:0.01076000,98.56,3
64,,D-148(002)M2070,13,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.50000000:0.48924000:0.01076000,91.39,3
65,"Feldkamp and Rousseau, 2011",E-176,2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCCOCCOCCCN,0.66667000:0.33333000,96.0,2
66,,E-230,3,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N,0.67638000:0.32362000,95.0,2
67,,E-230(a),4,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N,0.67742000:0.32258000,93.0,2
68,,E-230(b),5,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N,0.68750000:0.31250000,88.0,2
69,,E-230(c),6,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N,0.71264000:0.28736000,76.0,2
70,,E-230(07)nDA,7,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCCCCCCCN,0.61390000:0.23258000:0.15352000,83.0,3
71,,E-230(17)nDA,8,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCCCCCCCN,0.57983000:0.14468000:0.27549000,73.0,3
72,,E-230(60)nDA,9,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCCCCCCCN,0.53271000:0.06670000:0.40059000,58.0,3
73,,E-230(17)tBA,10,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CC(C)(C)N,0.57806000:0.15768000:0.26426000,87.0,3
74,,E-230(17)nBA,11,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCN,0.57806000:0.15768000:0.26426000,81.0,3
75,,E-230(17)nHA,12,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)N|CCCCCCCCCCCCCCCCN,0.57806000:0.15831000:0.26363000,62.0,3
76,,D-148(10)230,13,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)N,0.65517000:0.02924000:0.31559000,97.0,3
77,,D-148(1)400,14,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.65517000:0.15601000:0.18882000,72.0,3
78,,D-148(01)2000a),15,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.65517000:0.31503000:0.02980000,88.0,3
79,,D-148(002)230,16,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)N,0.65517000:0.33981000:0.00502000,102.0,3
80,,D-148(002)400,17,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.65517000:0.33981000:0.00502000,101.0,3
81,,D-148(002)2000a),18,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|NCCOCCOCCN|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.65517000:0.33981000:0.00502000,96.0,3
82,,0.5*[D-403(1)403+D-403(009)403],19,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,0.74026000:0.25974000,82.0,2
83,,D-403(008)3000,20,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N|CC(N)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCC(C)(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.74026000:0.24050000:0.01924000,69.0,3
84,,D-403(003)5000a),21,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N|CC(N)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCC(C)(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.74026000:0.25239000:0.00735000,78.0,3
