smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.35,0.65,196.2312765262395,1.2312765262394976,True,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1|COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,0.35000:0.65000,2,196.10551301116223,65.11097563946383,177.86941665770138,200.47406,198.0946653475029,198.02600210841555,192.12709434482693,193.78279192136714,7.558020402492315,177.86941665770138,200.47406005859375,22.60464340089237,6,196.2312765262395,-2.4484846048723625,65.11097563946383,1.217208078632865,low_disagreement,True,True,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1(C)CC(N)CC(C)(C)C1CN,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,0.95,0.05,210.2334322101997,15.233432210199735,False,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(N)CC(C)(C)C1CN,0.95000:0.05000,2,210.7247646572801,58.940476616331466,178.8398575991971,195.66866,197.48546499776384,193.68949499331282,200.97314465614954,196.23023038320184,9.51628553161584,178.8398575991971,210.7247646572801,31.884907058083,6,210.2334322101997,-14.003201826997866,58.940476616331466,1.2302303832018424,low_disagreement,True,True,False
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,aromatic;hydroxyl;phenol,aromatic;epoxy;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.5,0.5,182.8111694136004,12.188830586399604,False,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,0.50000:0.50000,2,182.8435712030611,91.33526266121306,205.48944354368777,202.58072,184.81565162360724,184.83609137661736,201.9630447688093,193.75475358498724,9.673681119610213,182.8435712030611,205.48944354368777,22.64587234062668,6,182.8111694136004,10.943584171386846,91.33526266121306,1.2452464150127582,low_disagreement,True,True,False
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1,aromatic;imide;maleimide;vinyl,aromatic;ether;vinyl,马来酰亚胺与烯基共聚/加成。,0.5,0.5,192.802984651457,2.1970153485430046,True,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1,0.50000:0.50000,2,193.17608863189486,4.411052290204277,192.08303242772675,195.46689,195.08066847394093,194.33150182842382,192.15242434728407,193.7151006895008,1.3360154800531858,192.08303242772675,195.46688842773438,3.3838560000076257,6,192.802984651457,0.9121160380437914,4.411052290204277,1.2848993104992132,low_disagreement,True,True,False
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,COc1ccc(OCC2CO2)c(C(c2ccc(OCC3CO3)c(OC)c2)c2cc(OC)ccc2OCC2CO2)c1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.4,0.6,208.41862890043055,13.418628900430576,False,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1|COc1ccc(OCC2CO2)c(C(c2ccc(OCC3CO3)c(OC)c2)c2cc(OC)ccc2OCC2CO2)c1,0.40000:0.60000,2,208.39726342403816,59.55549971097321,188.45120957870014,193.7881,188.25039834892678,187.5808350898131,195.64442122392987,193.6853714769495,7.239808263465711,187.5808350898131,208.39726342403816,20.816428334225066,6,208.41862890043055,-14.733257423481035,59.55549971097321,1.3146285230504873,low_disagreement,True,True,False
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.55,0.4499999999999999,207.5924308603969,12.592430860396917,False,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1|COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC,0.55000:0.45000,2,207.6562648576707,62.318049965729244,192.96740428725124,192.83304,189.28513842013288,187.1326089250287,192.16826961717658,193.67378740622303,6.595823823439775,187.1326089250287,207.6562648576707,20.523655932641987,6,207.5924308603969,-13.91864345417386,62.318049965729244,1.3262125937769724,low_disagreement,True,True,False
O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,N#CC(CC=CCC1CO1)CCC=CCC1CO1,aromatic;ether;hydroxyl;phenol,epoxy;ether;nitrile;vinyl,环氧-羟基醚化，常需催化剂。,0.55,0.4499999999999999,200.32860645104947,5.328606451049467,False,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3|N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.55000:0.45000,2,200.42958538273567,85.52242591770154,200.60135400949397,202.29997,188.9296645111178,189.83263110398497,196.53072484996596,196.43732206524635,5.285886675443619,188.9296645111178,202.2999725341797,13.370308023061881,6,200.32860645104947,-3.891284385803118,85.52242591770154,1.4373220652463488,low_disagreement,True,True,False
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,anhydride;aromatic;ester;ether,aromatic;hydroxyl;phenol,酸酐-羟基酯化。,0.35,0.65,183.66496835668,11.33503164331998,False,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,0.35000:0.65000,2,183.87440953356221,72.74299846731843,213.24402140976858,200.30798,192.5757385081293,189.34121191737498,199.75030182355536,196.51561109847134,9.411691310404988,183.87440953356221,213.24402140976858,29.369611876206363,6,183.66496835668,12.850642741791347,72.74299846731843,1.5156110984713393,low_disagreement,True,True,False
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,C(=N/c1ccc(OCC2CO2)cc1)\c1ccc(OCC2CO2)cc1,aromatic;hydroxyl;phenol,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,0.5,0.5,190.2970682310672,4.702931768932814,True,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|C(=N/c1ccc(OCC2CO2)cc1)\c1ccc(OCC2CO2)cc1,0.50000:0.50000,2,190.57178972658198,48.33456388424485,193.689690364631,208.50548,189.33056101356368,188.82242100675174,208.23771835623572,196.52627639550624,8.517520972685887,188.82242100675174,208.50547790527344,19.6830568985217,6,190.2970682310672,6.229208164439058,48.33456388424485,1.526276395506244,low_disagreement,True,True,False
COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,aromatic;epoxy;ether;hydroxyl;phenol,aromatic;cyanate_ester;ether;nitrile,氰酸酯-酚共固化/催化三聚。,0.45,0.55,184.4112098393796,10.588790160620391,False,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.45000:0.55000,2,184.49867036830693,83.42446150290898,196.25745196840796,196.9465,191.82380501400243,189.1382081567345,201.61370063759364,193.37972313843207,5.598899503011446,184.49867036830693,201.61370063759364,17.115030269286706,6,184.4112098393796,8.96851329905246,83.42446150290898,1.6202768615679304,low_disagreement,True,True,False
