smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.9,0.0999999999999999,188.02350545231167,6.976494547688276,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.90000:0.10000,2,188.10787788476262,124.17740065744626,51.66939748257085,256.39355,222.10354184381643,222.90151175343212,231.26471498700428,195.40676643984773,67.31464013682712,51.66939748257085,256.3935546875,204.72415720492916,6,188.02350545231167,7.383260987536062,124.17740065744626,0.4067664398477291,high_disagreement,True,False,True
CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,188.7754722203335,6.224527779666488,False,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,188.82636987249148,125.12159715001829,54.61227058830901,257.701,224.15388186687977,226.33634853108668,235.81308801488447,197.90715794053042,67.23733658681465,54.61227058830901,257.70098876953125,203.08871818122225,6,188.7754722203335,9.131685720196913,125.12159715001829,2.907157940530425,high_disagreement,True,False,True
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,185.3620770081916,9.637922991808438,False,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,185.42754431175396,122.07902547373095,48.861781753976885,254.16661,216.66775484170284,219.5085548964713,228.53614895950668,192.19473258019752,67.20158177962571,48.861781753976885,254.16661071777344,205.30482896379655,6,185.3620770081916,6.832655572005933,122.07902547373095,2.805267419802476,high_disagreement,True,False,True
COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,aromatic;epoxy;ether;hydroxyl,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.75,0.25,198.22299477436988,3.22299477436988,True,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1|CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.75000:0.25000,2,198.51758533794643,92.49402276841994,46.5712797321264,249.8572,207.82317363532204,204.74744698942956,237.93051024365752,190.907864821941,67.15004569722788,46.5712797321264,249.85719299316406,203.28591326103765,6,198.22299477436988,-7.31512995242889,92.49402276841994,4.09213517805901,high_disagreement,True,False,True
Nc1ccc(Cc2ccc(N)cc2)cc1,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether;hydroxyl;phenol,环氧-伯胺开环固化。,0.85,0.15,206.8317452397908,11.831745239790791,False,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1,0.85000:0.15000,2,206.69578737464252,85.84094396250981,343.28343899701093,151.92923,168.90963325242473,165.82975011742448,156.89625730603393,198.9240161306441,66.92157036556627,151.92922973632812,343.28343899701093,191.3542092606828,6,206.8317452397908,-7.907729109146686,85.84094396250981,3.9240161306441053,high_disagreement,True,False,True
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,189.67221102733652,5.327788972663456,False,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,189.7153852743981,125.28692314272399,55.7226996927143,257.9053,222.85388194507985,225.67301525107158,235.81308801488447,197.9472290222044,66.72510097809563,55.7226996927143,257.9053039550781,202.18260426236384,6,189.67221102733652,8.27501799486788,125.28692314272399,2.9472290222043966,high_disagreement,True,False,True
CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,188.36464252604443,6.635357473955565,False,CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,188.42903782325172,126.76343490439935,55.85221189084753,256.79025,224.59421530905337,226.3788487175227,235.81308801488447,197.97627574018443,66.70373350715137,55.85221189084753,256.7902526855469,200.93804079469936,6,188.36464252604443,9.61163321414,126.76343490439935,2.976275740184434,high_disagreement,True,False,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,aromatic;epoxy;ether,ester;ether;hydroxyl;vinyl,环氧-羟基醚化，常需催化剂。,0.95,0.05,181.9036876864531,13.096312313546887,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,0.95000:0.05000,2,182.02243542923406,128.04798201788958,48.647209198324845,249.10641,220.7436812901473,221.8548513328168,223.8042239706663,191.02980266935185,66.62593259328582,48.647209198324845,249.10641479492188,200.45920559659703,6,181.9036876864531,9.126114982898741,128.04798201788958,3.9701973306481477,high_disagreement,True,False,True
COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,aromatic;epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.45,0.55,189.01354212362105,5.986457876378978,False,COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1|O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.45000:0.55000,2,189.14689620836924,113.73289025901163,59.85244360984131,261.88193,219.340747010963,220.5464440581362,244.2225769618594,199.16517255656723,66.25226527487338,59.85244360984131,261.8819274902344,202.02948388039306,6,189.01354212362105,10.151630432946178,113.73289025901163,4.165172556567228,high_disagreement,True,False,True
COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,aromatic;epoxy;ether;hydroxyl,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.6,0.4,199.417889402734,4.417889402733977,True,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000,2,199.59168797176085,86.479333887064,47.475665766750204,249.8857,208.30568778686532,207.58792442206783,230.27993419570657,190.52109942571394,66.15229913287622,47.475665766750204,249.8856964111328,202.4100306443826,6,199.417889402734,-8.896789977020063,86.479333887064,4.478900574286058,high_disagreement,True,False,True
