smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31
Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,3.0057505e-05,0.00041143596,-0.0002001375,-0.00028785877,-2.394244e-05,-0.00027984194,0.00011987612,0.00028348155,-8.991477e-05,0.00048096804,-0.0004939325,7.7434815e-05,1.5364029e-05,-0.000116365496,0.00026774406,0.00030074827,0.0003523375,0.0003994368,-3.679702e-05,-0.00014294125,-2.3670029e-05,-0.00038711133,-0.00033317925,7.405225e-05,-0.00014725467,-8.367747e-05,8.126162e-05,1.167506e-05,-0.00017241458,-0.00043209177,9.546336e-05,-0.00015629968
Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,2.8707087e-05,0.00023509748,-0.0001710942,-0.00035411632,7.316377e-05,-0.00040900707,0.00013291277,0.000106087886,-0.00012986152,0.00021968642,-0.00050570257,0.0001578154,7.893331e-05,-0.00011187373,0.0002257973,0.00011473335,0.00025654677,0.00026078196,-7.7058794e-05,-0.00018817512,-5.1964656e-05,-0.00015557534,-0.00015996909,2.2118911e-05,-2.5895424e-06,4.356727e-06,-5.8915466e-05,-0.00017287116,-0.00025053346,-0.00021339953,3.7280843e-05,-0.0002553598
Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,6.257463e-05,0.0007899236,1.6263686e-05,-0.00015919283,-0.00039271824,-0.00019232742,9.667594e-05,0.00010734983,0.00020145881,0.00056986604,-0.00089372974,0.00016864482,-0.00033186283,-0.00017091911,0.0007620333,0.00018030824,0.00036146585,0.0006456927,-0.000283655,0.00013046106,-0.00010593375,-0.00045009318,-0.0005607684,5.9991144e-05,-0.00031431904,0.00013759267,0.00011299923,0.00018897792,2.975529e-05,-0.0006447234,9.698048e-05,-0.00019224826
O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,-6.574765e-05,0.00025455467,-0.00010884274,-0.0002930751,-0.00030180486,-0.00031987578,-3.791321e-05,9.745918e-05,-1.3681361e-05,0.00029040454,-0.00057726447,0.00016058423,-4.4427812e-05,-2.837414e-05,0.0004863739,0.00025524525,0.00026911125,0.00047759362,-0.000106748426,-8.455012e-05,-0.00015961367,-0.00032255554,-0.00027982937,4.2338856e-05,-7.253094e-05,0.00014029257,0.00019747764,-0.00012212573,-0.00022220751,-0.00050193863,1.2903474e-05,-0.00016014837
O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,-0.00011657737,0.00023099035,-0.00016618613,-0.00025824923,-3.3633783e-05,-0.00023407675,-8.08835e-05,0.00020831916,-0.00011039083,8.184556e-05,-0.00018387474,0.00019147526,0.00011726841,-1.9778963e-05,0.00038865488,0.00022324873,4.7867186e-05,0.00026653148,-4.944182e-05,-0.00011717575,-0.00015770714,-0.0002412789,-0.00020815525,0.00023012981,-8.607935e-05,5.7360157e-06,0.00021777023,-0.00010734657,-0.00033423095,-0.00024044141,-0.00012469199,-0.00026520994
Cc1ccc(N=C=O)cc1N=C=O,0.00016546343,0.0004650792,0.00019660313,-8.390471e-05,-0.00064727385,-0.00039018225,0.00015170686,0.00010179449,3.9595878e-05,0.0003556381,-0.00072976295,7.917825e-05,-0.0003480753,-3.4320634e-05,0.0007174937,0.00018288149,0.00042451452,0.00041712192,-1.7101411e-06,0.000116244424,-7.5463206e-05,-0.0005910286,-0.00044640107,0.00012242887,-0.00030069845,3.9530918e-05,0.000108530745,0.00014310936,5.4231612e-05,-0.0002898425,0.00028743036,-5.4845586e-05
CC1OC(=O)OC(C)C1=O,0.00012226682,0.00047706068,9.875838e-05,-8.9658424e-05,-0.00074358284,-0.00047262758,4.464481e-05,0.00011191983,0.0001500661,0.00051614176,-0.00088411756,8.3968975e-05,-0.00024182023,-4.8017595e-05,0.0005263295,0.00035723625,0.00038502505,0.0006227549,6.554113e-05,0.00012331177,-0.000117753865,-0.0006821895,-0.0005341382,5.5445358e-05,-0.00034017162,5.568564e-05,4.5731664e-05,9.850273e-05,0.00017225556,-0.00038944604,0.0003938079,0.00019581616
OCCCCCCO,0.00024968386,0.0007802844,0.00022042543,-4.1138846e-05,-0.00073645264,-0.00044417288,0.00010155141,8.850265e-05,0.00030856556,0.0005975561,-0.0009924211,0.0002764631,-0.0001528915,-1.8827152e-05,0.00085914694,3.5483856e-05,0.00016490417,0.00039055524,-0.0001207178,0.00026804162,-0.00020302157,-0.0005270828,-0.00058283424,0.00015840959,-0.00036857137,-3.1459145e-05,-0.00022660196,0.00027114153,0.00038137776,-0.00019232836,0.00026955176,-0.00014715642
CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2],7.5230375e-05,0.00040947087,-0.00013031904,-0.00032561086,-0.00027349964,-0.00040856004,8.3187595e-05,0.00020705909,0.000103441766,0.00043722754,-0.00064202584,0.00020480063,4.5754015e-05,-0.000104942825,0.0004981905,9.2872884e-05,0.00026866933,0.0004365011,5.588378e-05,-0.00016341684,-0.00018124154,-0.00037552358,-0.0003749258,1.4156103e-06,-5.6927558e-05,5.5626035e-05,3.0449592e-05,-0.00015349593,-0.00021140953,-0.00032729888,0.00011394732,-5.2698888e-05
O=C1OCCCO1,0.00013179053,0.0007969532,0.00014499575,-1.9271858e-05,-0.0008141054,-0.00047595985,1.8192455e-05,6.297231e-05,0.0003199668,0.00057674246,-0.0010532169,0.00022695493,-0.00020006485,-1.7690007e-05,0.000894526,0.00013436517,0.00024324842,0.00044314982,-0.00012296694,0.00024557346,-0.00021183887,-0.00055982627,-0.0005604089,0.000109038316,-0.00040003145,4.41717e-05,-9.040069e-05,0.0002826252,0.00037985411,-0.00032574963,0.00027967338,-0.00016216189
